Region, Section, Index, State, EmptyTime, Bookmark
GJGQ,5,14,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,15,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,16,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,17,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,18,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,19,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,20,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,21,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,22,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,23,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,24,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,25,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,26,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,27,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,28,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,29,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,30,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,31,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,32,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,33,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,34,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,35,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,36,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,37,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,38,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,39,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,40,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,41,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,42,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,43,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,44,OCCUPIED,12/31/9999 11:59:59 PM,False
